,,,,,,,,,,,
序号,英文,中文释义,第一次背默,,,第二次背默,,,第三次背默,,
,,,时间,内容,结果,时间,内容,结果,时间,内容,结果
1,daily,"adj./adv.每日,日常; n.日报",,daily,,,,,,,
2,in one's daily life,在某人的日常生活中,,,,,,,,,
3,damage,"vt./n.损害,毁坏",,,,,,,,,
4,"damage(vt.) ..., do damage(n.) to ...",对……造成伤害,,,,,,,,,
5,damage(n.) to property,财产损失,,,,,,,,,
6,damaging,adj.有破坏性的,,,,,,,,,
7,damp,"adj.潮的,湿的; n.潮湿; vt.减弱",,,,,,,,,
8,damp(en) his enthusiasm,减弱他的热情,,,,,,,,,
9,dance,n.舞蹈; v.跳舞; n.舞会,,,,,,,,,
10,dance to the music,跟着音乐跳舞,,,,,,,,,
11,dance with sb,与某人一起跳舞,,,,,,,,,
12,danger,n.危险,,,,,,,,,
13,in danger,处于危险之中,,,,,,,,,
14,out of danger,脱离危险,,,,,,,,,
15,dangerous,adj.危险的,,,,,,,,,
16,endanger,vt.危及,,,,,,,,,
17,endangered,adj.濒危的,,,,,,,,,
18,the endangered animals,濒临灭绝的动物,,,,,,,,,
19,dare,"v.敢,胆敢",,,,,,,,,
20,daring,"n.勇气,胆量",,,,,,,,,
21,dark,adj.黑暗的; n.黑暗;天黑; adj.深色的,,,,,,,,,
22,at dark,天黑时,,,,,,,,,
23,before dark,天黑前,,,,,,,,,
24,sit in the dark,坐在黑暗里,,,,,,,,,
25,darkness,n.黑暗,,,,,,,,,
26,dark green,深绿色,,,,,,,,,
27,data,n.数据;资料,,,,,,,,,
28,big data processing,大数据处理,,,,,,,,,
29,database,n.数据库,,,,,,,,,
30,date,n.日期; vt.注明日期; vt.鉴定年代; vi.追溯到; n.约会,,,,,,,,,
31,What's the date today?,今天几月几号?,,,,,,,,,
32,to date,至今为止,,,,,,,,,
33,keep up to date(on ......),掌握(……的)最新情况,,,,,,,,,
34,be out of date,"过时,不合时宜",,,,,,,,,
35,"out-of-date, outdated, dated",adj.过时的,,,,,,,,,
36,a letter (which is) dated Jan. 2nd,注明1月2日的一封信,,,,,,,,,
37,date the antique at the Ming Dynasty,将古董的年代断定为明朝,,,,,,,,,
38,"date back to, date from",追溯到……,,,,,,,,,
39,"have a date with sb, date sb",与(情侣)约会,,,,,,,,,
40,go out on a date,出去(与情侣)约会,,,,,,,,,
41,daughter,n.女儿,,,,,,,,,
42,dawn,n.黎明; vi.天亮; vi.被理解,,,,,,,,,
43,at dawn,在黎明时,,,,,,,,,
44,"sth dawn on sb, It dawns on sb that ...",某人明白/理解了……,,,,,,,,,
45,day,"n.一天,日子; n.白天; n.节日; n.时代",,,,,,,,,
46,to this day,至今为止,,,,,,,,,
47,the other day,几天前,,,,,,,,,
48,another day,另一天,,,,,,,,,
49,the day before yesterday,前天,,,,,,,,,
50,the day after tomorrow,后天,,,,,,,,,
51,the day-to-day life,日常生活,,,,,,,,,
52,all day(long),一整天,,,,,,,,,
53,some day,(将来的)某一天,,,,,,,,,
54,one day,(过去或将来的)某一天,,,,,,,,,
55,"day after day, day in and day out",日复一日,,,,,,,,,
56,grow stronger with each passing day,日益强壮,,,,,,,,,
57,"during the day, by day","在白天,日间",,,,,,,,,
58,work day and night,日以继夜地工作,,,,,,,,,
59,Labor Day,劳动节,,,,,,,,,
60,National Day,国庆节,,,,,,,,,
61,Teachers' Day,教师节,,,,,,,,,
62,Children's Day,儿童节,,,,,,,,,
63,Mother's Day,母亲节,,,,,,,,,
64,in one's day,在某人所处的时代,,,,,,,,,
65,dead,adj.死的;死气沉沉的,,,,,,,,,
66,deadly,adj.致命的,,,,,,,,,
67,deadline,"n.截止日期,最后期限",,,,,,,,,
68,meet the deadline(for application),赶上(申请的)最后期限,,,,,,,,,
69,deaf,adj.聋的,,,,,,,,,
70,turn a deaf ear to...,对……充耳不闻/置若罔闻,,,,,,,,,
71,be deaf to one's advice,不听某人的建议,,,,,,,,,
72,deal,"v.解决; v.涉及; v./n.交易; n.便宜货; n.协议; vt.造成(损失,伤害,打击); v.分配; 很多; 重要事件/人物",,,,,,,,,
73,deal with,"解决,处理",,,,,,,,,
74,deal with sb,与某人做交易,,,,,,,,,
75,deal in tea,做茶叶生意,,,,,,,,,
76,make a deal,"达成交易,成交",,,,,,,,,
77,dealer,"n.经销商,贸易商",,,,,,,,,
78,get a good deal,买到便宜货,,,,,,,,,
79,do a (heavy) blow to tourism,对旅游业造成(严重)损失,,,,,,,,,
80,deal out cards,发牌,,,,,,,,,
81,deal sb a card,发给某人一张牌,,,,,,,,,
82,a great deal of...,大量的……,,,,,,,,,
83,a big deal,①大人物;②了不起的事,,,,,,,,,
84,dear,adj.亲爱的; n.亲爱的人; adj.昂贵的,,,,,,,,,
85,death,n.死亡,,,,,,,,,
86,be burnt to death,被烧死,,,,,,,,,
87,be beaten to death,被打死,,,,,,,,,
88,be shot to death,被射杀,,,,,,,,,
89,be frightened/ scared to death,无卿得要死,,,,,,,,,
90,be bored to death,被饿死,,,,,,,,,
91,starve to death,被冻死,,,,,,,,,
92,freeze to death,被呛死,,,,,,,,,
93,choke to death,九死一生,,,,,,,,,
94,narrowly escape death,生死攸关,,,,,,,,,
95,mean the difference between life and death,外科医生的医术有时关乎生死。,,,,,,,,,
96,debate,v./n.辩论;争论,,,,,,,,,
97,a debate on/ over ...,关于……的辩论/争论,,,,,,,,,
98,under debate,正在辩论/争论之中,,,,,,,,,
99,debatable,adj.有争议的,,,,,,,,,
100,debt,n.债务;欠债,,,,,,,,,
101,be in heavy debt,欠债累累(持续状态),,,,,,,,,
102,get into heavy debt,陷入沉重的负债(瞬间动作),,,,,,,,,
103,decade,n.十年,,,,,,,,,
104,decades of...,几十年的……,,,,,,,,,
105,over/ in the past few decades,在过去的几十年间,,,,,,,,,
106,decent,"adj.像样的,体面的; adj.正派的,合乎规矩的",,,,,,,,,
107,a decent job,体面的工作,,,,,,,,,
108,a decent wedding ceremony,体面的婚礼,,,,,,,,,
109,a decent person,一个正派的人,,,,,,,,,
110,decide,v.决定,,,,,,,,,
111,decide to do,决定做某事,,,,,,,,,
112,decide on sth,对某事作出决定,,,,,,,,,
113,decisive,adj.决定性的;果断的(反: in~),,,,,,,,,
114,decision,n.决定,,,,,,,,,
115,make a decision,做出决定,,,,,,,,,
116,"decision to do..., decision on/ about ...",……的决定,,,,,,,,,
117,dealer,"n.经销商,贸易商",,,,,,,,,
118,get a good deal,买到便宜货,,,,,,,,,
119,do a (heavy) blow to tourism,对旅游业造成(严重)损失,,,,,,,,,
120,deal out cards,发牌,,,,,,,,,
121,deal sb a card,发给某人一张牌,,,,,,,,,
122,a great deal of...,大量的……,,,,,,,,,
123,a big deal,①大人物;②了不起的事,,,,,,,,,
124,dear,adj.亲爱的; n.亲爱的人; adj.昂贵的,,,,,,,,,
125,death,n.死亡,,,,,,,,,
126,be burnt to death,被烧死,,,,,,,,,
127,be beaten to death,被打死,,,,,,,,,
128,be shot to death,被射杀,,,,,,,,,
129,be frightened/ scared to death,无卿得要死,,,,,,,,,
130,be bored to death,被饿死,,,,,,,,,
131,starve to death,被冻死,,,,,,,,,
132,freeze to death,被呛死,,,,,,,,,
133,choke to death,九死一生,,,,,,,,,
134,narrowly escape death,生死攸关,,,,,,,,,
135,mean the difference between life and death,外科医生的医术有时关乎生死。,,,,,,,,,
136,debate,v./n.辩论;争论,,,,,,,,,
137,a debate on/ over ...,关于……的辩论/争论,,,,,,,,,
138,under debate,正在辩论/争论之中,,,,,,,,,
139,debatable,adj.有争议的,,,,,,,,,
140,debt,n.债务;欠债,,,,,,,,,
141,be in heavy debt,欠债累累(持续状态),,,,,,,,,
142,get into heavy debt,陷入沉重的负债(瞬间动作),,,,,,,,,
143,decade,n.十年,,,,,,,,,
144,decades of...,几十年的……,,,,,,,,,
145,over/ in the past few decades,在过去的几十年间,,,,,,,,,
146,decent,"adj.像样的,体面的; adj.正派的,合乎规矩的",,,,,,,,,
147,a decent job,体面的工作,,,,,,,,,
148,a decent wedding ceremony,体面的婚礼,,,,,,,,,
149,a decent person,一个正派的人,,,,,,,,,
150,decide,v.决定,,,,,,,,,
151,decide to do,决定做某事,,,,,,,,,
152,decide on sth,对某事作出决定,,,,,,,,,
153,decisive,adj.决定性的;果断的(反: in~),,,,,,,,,
154,decision,n.决定,,,,,,,,,
155,make a decision,做出决定,,,,,,,,,
156,"decision to do..., decision on/ about ...",……的决定,,,,,,,,,
157,declare,"vt.宣布,声明",,,,,,,,,
158,declare war on,向……宣战,,,,,,,,,
159,declare that ...,"宣布,表明",,,,,,,,,
160,declare the military operation(to be)illegal,宣布此次军事行动非法,,,,,,,,,
161,declaration,"n.宣布,公告",,,,,,,,,
162,decline,vt./vi.(婉言)谢绝; vi./n.衰退; vi./n.下降,,,,,,,,,
163,decline to do,(婉言)谢绝做某事,,,,,,,,,
164,decline the invitation,(婉言)谢绝邀请,,,,,,,,,
165,fall into decline,开始衰落,,,,,,,,,
166,in decline,正在下跌/下降/衰退,,,,,,,,,
167,decrease,v./n.下降;减少,,,,,,,,,
168,decline/ decrease(v.) from 90% by 20% to 70%,从90%下降了20%到70%,,,,,,,,,
169,a sharp/ dramatic decline/ decrease(n.),急剧下降,,,,,,,,,
170,decline/ decrease(v.) sharply/ dramatically,急剧下降,,,,,,,,,
171,decorate,"vt.装饰,装潢",,,,,,,,,
172,decorate ... with ...,用……来装饰,,,,,,,,,
173,decoration,"n.装饰,装潢;装饰品",,,,,,,,,
174,dedicate,"vt.致力,献身",,,,,,,,,
175,dedicate oneself to/ be dedicated to doing,致力于做……,,,,,,,,,
176,dedicate one's life to doing,一生奉献给做某事,,,,,,,,,
177,dedication,"n.敬业,献身",,,,,,,,,
178,dedicated,adj.敬业的; adj.专用的,,,,,,,,,
179,a dedicated teacher,一位敬业的老师,,,,,,,,,
180,dedicated software,专用软件,,,,,,,,,
181,deed,"n.行为,行动,事情",,,,,,,,,
182,words and deeds,言行,,,,,,,,,
183,do good deeds,做好人好事,,,,,,,,,
184,deep,"adj.深的; adv.(与deeply比较)主要修饰时间,状态,空间,介词短语等",,,,,,,,,
185,dark green,深绿色,,,,,,,,,
186,deep in thought,深入沉思,,,,,,,,,
187,a deep hidden deep beneath the ground,被深藏在地下,,,,,,,,,
188,be hidden deep beneath the ground,被深藏在地下,,,,,,,,,
189,stare deep into her eye,深深凝视着她的眼睛,,,,,,,,,
190,talk deep into the night,一直谈话到深夜,,,,,,,,,
191,deeply,"adv.与deep比较,主要用于修饰,隐喻带有情感色彩的动词，表示认真程度，还可用于修饰adj.",,,,,,,,,
192,think deeply about ...,深思……,,,,,,,,,
193,breathe deeply,深呼吸,,,,,,,,,
194,take a deep breath,深呼吸,,,,,,,,,
195,sleep deeply,睡得很沉,,,,,,,,,
196,declare,"vt.宣布,声明",,,,,,,,,
197,declare war on,向……宣战,,,,,,,,,
198,declare that ...,"宣布,表明",,,,,,,,,
199,declare the military operation(to be)illegal,宣布此次军事行动非法,,,,,,,,,
200,declaration,"n.宣布,公告",,,,,,,,,
201,decline,vt./vi.(婉言)谢绝; vi./n.衰退; vi./n.下降,,,,,,,,,
202,decline to do,(婉言)谢绝做某事,,,,,,,,,
203,decline the invitation,(婉言)谢绝邀请,,,,,,,,,
204,fall into decline,开始衰落,,,,,,,,,
205,in decline,正在下跌/下降/衰退,,,,,,,,,
206,decrease,v./n.下降;减少,,,,,,,,,
207,decline/ decrease(v.) from 90% by 20% to 70%,从90%下降了20%到70%,,,,,,,,,
208,a sharp/ dramatic decline/ decrease(n.),急剧下降,,,,,,,,,
209,decline/ decrease(v.) sharply/ dramatically,急剧下降,,,,,,,,,
210,decorate,"vt.装饰,装潢",,,,,,,,,
211,decorate ... with ...,用……来装饰,,,,,,,,,
212,decoration,"n.装饰,装潢;装饰品",,,,,,,,,
213,dedicate,"vt.致力,献身",,,,,,,,,
214,dedicate oneself to/ be dedicated to doing,致力于做……,,,,,,,,,
